kde_true = 0.019902259480151764
for delta = 0.99, epsilon = 1, optimal T is 1.0
for delta = 0.99, epsilon = 0.5, optimal T is 1.0
for delta = 0.99, epsilon = 0.1, optimal T is 1.0
for delta = 0.99, epsilon = 0.01, optimal T is 1.0
for delta = 0.99, epsilon = 0.001, optimal T is 256.0
for delta = 0.99, epsilon = 0.0001, optimal T is 1024.0
for delta = 0.9, epsilon = 1, optimal T is 1.0
for delta = 0.9, epsilon = 0.5, optimal T is 1.0
for delta = 0.9, epsilon = 0.1, optimal T is 1.0
for delta = 0.9, epsilon = 0.01, optimal T is 128.0
for delta = 0.9, epsilon = 0.001, optimal T is 10000.0
for delta = 0.9, epsilon = 0.0001, optimal T is 10000.0
for delta = 0.5, epsilon = 1, optimal T is 1.0
for delta = 0.5, epsilon = 0.5, optimal T is 1.0
for delta = 0.5, epsilon = 0.1, optimal T is 64.0
for delta = 0.5, epsilon = 0.01, optimal T is 8192.0
for delta = 0.5, epsilon = 0.001, optimal T is 10000.0
for delta = 0.5, epsilon = 0.0001, optimal T is 10000.0
for delta = 0.1, epsilon = 1, optimal T is 1.0
for delta = 0.1, epsilon = 0.5, optimal T is 1.0
for delta = 0.1, epsilon = 0.1, optimal T is 512.0
for delta = 0.1, epsilon = 0.01, optimal T is 10000.0
for delta = 0.1, epsilon = 0.001, optimal T is 10000.0
for delta = 0.1, epsilon = 0.0001, optimal T is 10000.0
for delta = 0.01, epsilon = 1, optimal T is 1.0
for delta = 0.01, epsilon = 0.5, optimal T is 256.0
for delta = 0.01, epsilon = 0.1, optimal T is 2048.0
for delta = 0.01, epsilon = 0.01, optimal T is 10000.0
for delta = 0.01, epsilon = 0.001, optimal T is 10000.0
for delta = 0.01, epsilon = 0.0001, optimal T is 10000.0
for delta = 0.001, epsilon = 1, optimal T is 16.0
for delta = 0.001, epsilon = 0.5, optimal T is 256.0
for delta = 0.001, epsilon = 0.1, optimal T is 2048.0
for delta = 0.001, epsilon = 0.01, optimal T is 10000.0
for delta = 0.001, epsilon = 0.001, optimal T is 10000.0
for delta = 0.001, epsilon = 0.0001, optimal T is 10000.0

kde_true = 0.011420740240282203
for delta = 0.99, epsilon = 1, optimal T is 1.0
for delta = 0.99, epsilon = 0.5, optimal T is 1.0
for delta = 0.99, epsilon = 0.1, optimal T is 1.0
for delta = 0.99, epsilon = 0.01, optimal T is 1.0
for delta = 0.99, epsilon = 0.001, optimal T is 16.0
for delta = 0.99, epsilon = 0.0001, optimal T is 2048.0
for delta = 0.9, epsilon = 1, optimal T is 1.0
for delta = 0.9, epsilon = 0.5, optimal T is 1.0
for delta = 0.9, epsilon = 0.1, optimal T is 1.0
for delta = 0.9, epsilon = 0.01, optimal T is 256.0
for delta = 0.9, epsilon = 0.001, optimal T is 4096.0
for delta = 0.9, epsilon = 0.0001, optimal T is 10000.0
for delta = 0.5, epsilon = 1, optimal T is 1.0
for delta = 0.5, epsilon = 0.5, optimal T is 1.0
for delta = 0.5, epsilon = 0.1, optimal T is 64.0
for delta = 0.5, epsilon = 0.01, optimal T is 4096.0
for delta = 0.5, epsilon = 0.001, optimal T is 10000.0
for delta = 0.5, epsilon = 0.0001, optimal T is 10000.0
for delta = 0.1, epsilon = 1, optimal T is 1.0
for delta = 0.1, epsilon = 0.5, optimal T is 2.0
for delta = 0.1, epsilon = 0.1, optimal T is 256.0
for delta = 0.1, epsilon = 0.01, optimal T is 8192.0
for delta = 0.1, epsilon = 0.001, optimal T is 10000.0
for delta = 0.1, epsilon = 0.0001, optimal T is 10000.0
for delta = 0.01, epsilon = 1, optimal T is 16.0
for delta = 0.01, epsilon = 0.5, optimal T is 64.0
for delta = 0.01, epsilon = 0.1, optimal T is 1024.0
for delta = 0.01, epsilon = 0.01, optimal T is 10000.0
for delta = 0.01, epsilon = 0.001, optimal T is 10000.0
for delta = 0.01, epsilon = 0.0001, optimal T is 10000.0
for delta = 0.001, epsilon = 1, optimal T is 32.0
for delta = 0.001, epsilon = 0.5, optimal T is 64.0
for delta = 0.001, epsilon = 0.1, optimal T is 1024.0
for delta = 0.001, epsilon = 0.01, optimal T is 10000.0
for delta = 0.001, epsilon = 0.001, optimal T is 10000.0
for delta = 0.001, epsilon = 0.0001, optimal T is 10000.0
